"municipio_de_saude";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";" Total"
"230010 ABAIARA";"0";"1204";"798";"972";"389";"498";"728";"910";"880";"727";"7106"
"230015 ACARAPE";"1";"537";"288";"541";"324";"375";"522";"713";"568";"528";"4397"
"230020 ACARAU";"263";"3342";"3539";"3152";"2732";"2077";"2774";"3348";"4985";"3294";"29506"
"230030 ACOPIARA";"568";"286";"2806";"2416";"886";"1756";"1900";"2603";"1951";"2348";"17520"
"230040 AIUABA";"111";"728";"860";"771";"717";"369";"735";"631";"695";"1006";"6623"
"230050 ALCANTARAS";"53";"584";"727";"596";"418";"582";"908";"583";"709";"896";"6056"
"230060 ALTANEIRA";"33";"538";"420";"402";"217";"45";"0";"0";"0";"0";"1655"
"230070 ALTO SANTO";"471";"1673";"2179";"1602";"1298";"1807";"1940";"2083";"2223";"1904";"17180"
"230075 AMONTADA";"35";"973";"1111";"1207";"875";"488";"864";"1088";"1343";"2075";"10059"
"230080 ANTONINA DO NORTE";"17";"122";"270";"208";"99";"285";"399";"601";"447";"449";"2897"
"230090 APUIARES";"0";"1163";"1060";"992";"466";"516";"729";"931";"716";"850";"7423"
"230100 AQUIRAZ";"732";"3617";"4659";"4578";"3272";"3343";"5236";"5691";"5783";"4550";"41461"
"230110 ARACATI";"562";"3098";"3722";"3909";"3121";"2348";"2734";"4147";"4091";"4130";"31862"
"230120 ARACOIABA";"47";"1059";"1022";"991";"359";"607";"1292";"1233";"1250";"1253";"9113"
"230125 ARARENDA";"55";"296";"651";"640";"595";"756";"683";"959";"1014";"903";"6552"
"230130 ARARIPE";"34";"1493";"223";"6";"0";"898";"1654";"1617";"1242";"1755";"8922"
"230140 ARATUBA";"101";"790";"924";"970";"626";"769";"831";"961";"1137";"945";"8054"
"230150 ARNEIROZ";"0";"493";"547";"471";"281";"269";"312";"383";"572";"363";"3691"
"230160 ASSARE";"1";"1109";"933";"777";"521";"993";"1676";"1403";"1583";"1643";"10639"
"230170 AURORA";"0";"1841";"1839";"1834";"941";"812";"1162";"1403";"1064";"1284";"12180"
"230180 BAIXIO";"0";"158";"243";"251";"152";"151";"107";"116";"128";"198";"1504"
"230185 BANABUIU";"6";"856";"875";"946";"450";"373";"414";"553";"637";"562";"5672"
"230190 BARBALHA";"83";"3020";"3151";"3006";"1855";"2942";"2706";"3245";"3494";"3132";"26634"
"230195 BARREIRA";"0";"451";"3183";"1240";"703";"361";"1545";"1352";"1058";"1678";"11571"
"230200 BARRO";"0";"1424";"900";"771";"444";"638";"579";"1529";"1218";"1305";"8808"
"230205 BARROQUINHA";"0";"151";"617";"848";"454";"448";"1073";"1028";"1006";"876";"6501"
"230210 BATURITE";"108";"964";"808";"80";"35";"1026";"1081";"1732";"1873";"1762";"9469"
"230220 BEBERIBE";"300";"1839";"1453";"1478";"1392";"1781";"3440";"3996";"4313";"3784";"23776"
"230230 BELA CRUZ";"175";"1428";"1909";"1985";"1564";"2112";"2081";"2364";"2518";"2293";"18429"
"230240 BOA VIAGEM";"704";"3338";"3149";"1120";"1756";"950";"2204";"367";"0";"0";"13588"
"230250 BREJO SANTO";"194";"2019";"1617";"2479";"1707";"2264";"2790";"3714";"2413";"3148";"22345"
"230260 CAMOCIM";"0";"1263";"3968";"3898";"2581";"4093";"4153";"3288";"4901";"3859";"32004"
