"municipio_de_saude";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"total"
"230010 ABAIARA";"0";"117";"106";"217";"118";"352";"117";"237";"188";"187";"1639"
"230015 ACARAPE";"1";"163";"0";"168";"1";"0";"172";"242";"179";"171";"1097"
"230020 ACARAU";"476";"3";"938";"305";"0";"0";"1422";"1230";"1259";"1245";"6878"
"230030 ACOPIARA";"0";"167";"617";"1052";"567";"655";"815";"1025";"554";"973";"6425"
"230040 AIUABA";"0";"1";"160";"2";"0";"0";"0";"181";"219";"267";"830"
"230050 ALCANTARAS";"1";"333";"198";"338";"161";"74";"186";"76";"29";"9";"1405"
"230060 ALTANEIRA";"0";"41";"19";"6";"1";"0";"91";"152";"216";"64";"590"
"230070 ALTO SANTO";"169";"355";"375";"384";"350";"502";"314";"399";"324";"415";"3587"
"230075 AMONTADA";"0";"0";"1";"0";"0";"183";"468";"259";"346";"705";"1962"
"230080 ANTONINA DO NORTE";"0";"146";"6";"2";"0";"128";"90";"281";"154";"265";"1072"
"230090 APUIARES";"0";"163";"1";"32";"80";"187";"123";"215";"95";"159";"1055"
"230100 AQUIRAZ";"21";"190";"388";"1352";"697";"84";"260";"757";"566";"83";"4398"
"230110 ARACATI";"636";"2404";"2532";"1793";"1580";"1336";"1382";"1649";"1667";"2500";"17479"
"230120 ARACOIABA";"0";"0";"31";"92";"0";"622";"723";"485";"260";"632";"2845"
"230125 ARARENDA";"0";"0";"0";"0";"0";"0";"20";"43";"89";"123";"275"
"230130 ARARIPE";"0";"216";"27";"2";"4";"229";"183";"702";"448";"766";"2577"
"230140 ARATUBA";"0";"0";"9";"21";"0";"306";"369";"191";"84";"395";"1375"
"230150 ARNEIROZ";"0";"0";"0";"241";"0";"3";"4";"9";"14";"5";"276"
"230160 ASSARE";"30";"238";"118";"45";"51";"50";"119";"395";"543";"513";"2102"
"230170 AURORA";"6";"99";"300";"381";"78";"184";"346";"388";"316";"667";"2765"
"230180 BAIXIO";"0";"210";"34";"283";"51";"77";"73";"129";"74";"130";"1061"
"230185 BANABUIU";"269";"408";"296";"73";"278";"229";"207";"353";"280";"395";"2788"
"230190 BARBALHA";"0";"1747";"2479";"2115";"1869";"2333";"1681";"2314";"2599";"2057";"19194"
"230195 BARREIRA";"11";"185";"9";"210";"7";"17";"65";"153";"157";"208";"1022"
"230200 BARRO";"0";"0";"298";"395";"294";"367";"171";"470";"273";"396";"2664"
"230205 BARROQUINHA";"0";"1";"93";"221";"209";"175";"271";"227";"271";"338";"1806"
"230210 BATURITE";"0";"0";"51";"63";"0";"1340";"586";"505";"291";"1646";"4482"
"230220 BEBERIBE";"0";"425";"371";"560";"448";"444";"876";"738";"972";"1033";"5867"
"230230 BELA CRUZ";"0";"169";"277";"207";"0";"143";"30";"420";"412";"373";"2031"
"230240 BOA VIAGEM";"3";"935";"18";"0";"0";"237";"132";"233";"172";"313";"2043"
"230250 BREJO SANTO";"5";"17";"86";"923";"877";"1051";"1075";"1135";"1299";"1549";"8017"
"230260 CAMOCIM";"0";"1060";"1264";"740";"286";"1096";"1497";"1377";"1791";"1539";"10650"
"230270 CAMPOS SALES";"0";"158";"0";"0";"0";"658";"227";"1076";"598";"1008";"3725"
"230280 CANINDE";"0";"246";"14";"549";"432";"503";"370";"625";"488";"412";"3639"
"230290 CAPISTRANO";"0";"0";"26";"41";"0";"504";"441";"244";"129";"315";"1700"
"230300 CARIDADE";"0";"84";"1";"0";"247";"0";"36";"94";"105";"89";"656"
"230310 CARIRE";"2";"88";"58";"89";"17";"110";"191";"253";"942";"1065";"2815"
"230320 CARIRIACU";"0";"5";"36";"297";"179";"138";"123";"366";"267";"336";"1747"
"230330 CARIUS";"0";"137";"194";"290";"155";"323";"295";"394";"311";"410";"2509"
"230340 CARNAUBAL";"17";"124";"296";"200";"391";"358";"245";"290";"410";"322";"2653"
"230350 CASCAVEL";"0";"331";"588";"778";"425";"614";"746";"412";"673";"438";"5005"
"230360 CATARINA";"0";"11";"179";"0";"156";"3";"177";"20";"16";"196";"758"
"230365 CATUNDA";"1";"44";"56";"84";"287";"318";"319";"198";"256";"302";"1865"
"230370 CAUCAIA";"430";"496";"2763";"2074";"2445";"2313";"2718";"3506";"2513";"1832";"21090"
"230380 CEDRO";"0";"0";"190";"283";"1110";"232";"410";"587";"377";"405";"3594"
"230390 CHAVAL";"0";"191";"408";"200";"273";"323";"360";"59";"129";"227";"2170"
"230393 CHORO";"93";"181";"143";"196";"216";"133";"182";"205";"142";"448";"1939"
"230395 CHOROZINHO";"0";"0";"15";"221";"174";"251";"356";"297";"504";"533";"2351"
"230400 COREAU";"1";"347";"137";"154";"7";"22";"33";"91";"64";"278";"1134"
"230410 CRATEUS";"0";"987";"0";"0";"0";"0";"49";"1";"81";"1591";"2709"
