"Munic do un.saúde";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";" Total"
"110001 ALTA FLORESTA D\'OESTE";"0";"0";"1175";"1306";"338";"457";"845";"1010";"816";"1097";"7044"
"110002 ARIQUEMES";"0";"0";"6120";"6244";"3147";"4542";"4213";"5665";"4325";"6480";"40736"
"110003 CABIXI";"0";"0";"0";"92";"50";"75";"22";"54";"56";"81";"430"
"110004 CACOAL";"0";"0";"1328";"2019";"1418";"2231";"1486";"2325";"1703";"2325";"14835"
"110005 CEREJEIRAS";"0";"0";"386";"373";"87";"36";"153";"315";"307";"590";"2247"
"110006 COLORADO DO OESTE";"0";"0";"381";"417";"295";"446";"422";"333";"283";"460";"3037"
"110007 CORUMBIARA";"0";"0";"234";"309";"17";"194";"84";"124";"185";"160";"1307"
"110008 COSTA MARQUES";"0";"0";"0";"85";"343";"183";"316";"257";"255";"317";"1756"
"110009 ESPIGAO D\'OESTE";"0";"0";"1016";"1432";"432";"538";"870";"1032";"967";"1252";"7539"
"110010 GUAJARA-MIRIM";"0";"0";"1918";"1843";"996";"1556";"334";"1122";"1587";"2384";"11740"
"110011 JARU";"0";"0";"1";"915";"2449";"1337";"1942";"2189";"2090";"1511";"12434"
"110012 JI-PARANA";"0";"0";"0";"1255";"3022";"3280";"4611";"4943";"4308";"3988";"25407"
"110013 MACHADINHO D\'OESTE";"0";"0";"2180";"1817";"518";"519";"713";"961";"733";"1242";"8683"
"110014 NOVA BRASILANDIA D\'OESTE";"0";"0";"628";"1064";"200";"777";"1649";"1291";"706";"1309";"7624"
"110015 OURO PRETO DO OESTE";"0";"0";"0";"115";"882";"521";"1337";"2173";"1408";"993";"7429"
"110018 PIMENTA BUENO";"0";"0";"1120";"2109";"882";"2383";"1529";"2452";"2096";"2349";"14920"
"110020 PORTO VELHO";"0";"0";"13625";"12601";"4261";"9100";"10221";"25121";"19056";"18008";"111993"
"110025 PRESIDENTE MEDICI";"0";"0";"0";"136";"362";"75";"1072";"643";"417";"430";"3135"
