,estado,ano_mes,municipio,tipo_exame,valor_indicador
0,CE,201612,ALTANEIRA,Citopatologico,33.0
1,CE,201612,ALTANEIRA,Mamografia,225.0
2,CE,201612,ANTONINA DO NORTE,Citopatologico,17.0
3,CE,201612,ARARIPE,Citopatologico,34.0
4,CE,201612,ASSARE,Citopatologico,1.0
5,CE,201612,ASSARE,Mamografia,30.0
6,CE,201612,AURORA,Mamografia,6.0
7,CE,201612,BARBALHA,Citopatologico,83.0
8,CE,201612,BARBALHA,Mamografia,2882.0
9,CE,201612,BREJO SANTO,Citopatologico,942.0
10,CE,201612,BREJO SANTO,Mamografia,1095.0
11,CE,201612,CAMPOS SALES,Citopatologico,2.0
12,CE,201612,CARIRIACU,Citopatologico,7.0
13,CE,201612,CRATO,Citopatologico,16858.0
14,CE,201612,CRATO,Mamografia,2762.0
15,CE,201612,FARIAS BRITO,Citopatologico,108.0
16,CE,201612,FARIAS BRITO,Mamografia,65.0
17,CE,201612,GRANJEIRO,Citopatologico,1.0
18,CE,201612,JARDIM,Citopatologico,91.0
19,CE,201612,JATI,Citopatologico,11.0
20,CE,201612,JUAZEIRO DO NORTE,Citopatologico,4176.0
21,CE,201612,JUAZEIRO DO NORTE,Mamografia,1141.0
22,CE,201612,MAURITI,Citopatologico,70.0
23,CE,201612,MAURITI,Mamografia,3.0
24,CE,201612,MILAGRES,Citopatologico,7.0
25,CE,201612,MILAGRES,Mamografia,4.0
26,CE,201612,MISSAO VELHA,Citopatologico,2.0
27,CE,201612,NOVA OLINDA,Citopatologico,19.0
28,CE,201612,NOVA OLINDA,Mamografia,32.0
29,CE,201612,PORTEIRAS,Citopatologico,84.0
30,CE,201612,PORTEIRAS,Mamografia,7.0
31,CE,201612,POTENGI,Mamografia,42.0
32,CE,201612,SALITRE,Citopatologico,16.0
33,CE,201612,SALITRE,Mamografia,5.0
34,CE,201612,SANTANA DO CARIRI,Mamografia,83.0
35,CE,201612,TARRAFAS,Citopatologico,9.0
