co_anomes,co_ibge,vl_indicador_calculado_mun,co_uf,no_municipio,sg_uf,no_uf,co_regiao_brasil,no_regiao_brasil,sg_regiao_brasil,co_regiao_saude,no_regiao_saude,no_macro,co_macro,vl_indicador_calculado_rs,vl_indicador_calculado_ms,vl_indicador_calculado_uf,vl_indicador_calculado_reg,vl_indicador_calculado_br,vl_indicador_calculado_al,dt_competencia,dt_atualizacao,ds_unidade_medida,sg_granularidade,ds_granularidade
201612,270020,261.0,27,Anadia,AL,Alagoas,2,Nordeste,NE,27005,5ª Região de Saúde,1ª Macrorregião de Saúde,2704,9520.0,66287.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270030,19883.0,27,Arapiraca,AL,Alagoas,2,Nordeste,NE,27007,7ª Região de Saúde,2ª Macrorregião de Saúde,2703,20684.0,26196.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270070,450.0,27,Batalha,AL,Alagoas,2,Nordeste,NE,27007,7ª Região de Saúde,2ª Macrorregião de Saúde,2703,20684.0,26196.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270170,247.0,27,Capela,AL,Alagoas,2,Nordeste,NE,27004,4ª Região de Saúde,1ª Macrorregião de Saúde,2704,1002.0,66287.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270190,26.0,27,Chã Preta,AL,Alagoas,2,Nordeste,NE,27004,4ª Região de Saúde,1ª Macrorregião de Saúde,2704,1002.0,66287.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270200,351.0,27,Coité do Nóia,AL,Alagoas,2,Nordeste,NE,27007,7ª Região de Saúde,2ª Macrorregião de Saúde,2703,20684.0,26196.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270210,788.0,27,Colônia Leopoldina,AL,Alagoas,2,Nordeste,NE,27003,3ª Região de Saúde,1ª Macrorregião de Saúde,2704,2183.0,66287.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270240,1692.0,27,Delmiro Gouveia,AL,Alagoas,2,Nordeste,NE,27010,10ª Região de Saúde,2ª Macrorregião de Saúde,2703,3404.0,26196.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270280,877.0,27,Flexeiras,AL,Alagoas,2,Nordeste,NE,27001,1ª Região de Saúde,1ª Macrorregião de Saúde,2704,48933.0,66287.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270310,822.0,27,Igaci,AL,Alagoas,2,Nordeste,NE,27008,8ª Região de Saúde,2ª Macrorregião de Saúde,2703,2108.0,26196.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270320,393.0,27,Igreja Nova,AL,Alagoas,2,Nordeste,NE,27006,6ª Região de Saúde,1ª Macrorregião de Saúde,2704,3584.0,66287.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270330,713.0,27,Inhapi,AL,Alagoas,2,Nordeste,NE,27010,10ª Região de Saúde,2ª Macrorregião de Saúde,2703,3404.0,26196.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
201612,270400,185.0,27,Junqueiro,AL,Alagoas,2,Nordeste,NE,27005,5ª Região de Saúde,1ª Macrorregião de Saúde,2704,9520.0,66287.0,92483.0,1624054.0,6944755.0,0.0,2016-12-01 12:00:00,2026-03-17 01:25:03,Número,MN,Município
