,estado,municipio,valor_indicador,ano_mes,tipo_exame
0,CE,ABAIARA,0,201612,Mamografia
1,CE,ALTANEIRA,0,201612,Mamografia
2,CE,ANTONINA DO NORTE,0,201612,Mamografia
3,CE,ARARIPE,0,201612,Mamografia
4,CE,ASSARE,30,201612,Mamografia
5,CE,AURORA,6,201612,Mamografia
6,CE,BARBALHA,0,201612,Mamografia
7,CE,BARRO,0,201612,Mamografia
8,CE,BREJO SANTO,5,201612,Mamografia
9,CE,CAMPOS SALES,0,201612,Mamografia
10,CE,CARIRIACU,0,201612,Mamografia
11,CE,CRATO,948,201612,Mamografia
12,CE,FARIAS BRITO,65,201612,Mamografia
13,CE,GRANJEIRO,0,201612,Mamografia
14,CE,JARDIM,0,201612,Mamografia
15,CE,JATI,0,201612,Mamografia
16,CE,JUAZEIRO DO NORTE,0,201612,Mamografia
17,CE,MAURITI,3,201612,Mamografia
18,CE,MILAGRES,4,201612,Mamografia
19,CE,MISSAO VELHA,0,201612,Mamografia
20,CE,NOVA OLINDA,32,201612,Mamografia
21,CE,PENAFORTE,0,201612,Mamografia
22,CE,PORTEIRAS,7,201612,Mamografia
23,CE,POTENGI,42,201612,Mamografia
24,CE,SALITRE,5,201612,Mamografia
25,CE,SANTANA DO CARIRI,83,201612,Mamografia
26,CE,TARRAFAS,10,201612,Mamografia
27,CE,VARZEA ALEGRE,120,201612,Mamografia
28,CE,ABAIARA,117,201712,Mamografia
29,CE,ALTANEIRA,41,201712,Mamografia
30,CE,ANTONINA DO NORTE,146,201712,Mamografia
31,CE,ARARIPE,216,201712,Mamografia
32,CE,ASSARE,238,201712,Mamografia
33,CE,AURORA,99,201712,Mamografia
34,CE,BARBALHA,1747,201712,Mamografia
35,CE,BARRO,0,201712,Mamografia
36,CE,BREJO SANTO,17,201712,Mamografia
37,CE,CAMPOS SALES,158,201712,Mamografia
38,CE,CARIRIACU,5,201712,Mamografia
39,CE,CRATO,2285,201712,Mamografia
40,CE,FARIAS BRITO,230,201712,Mamografia
41,CE,GRANJEIRO,143,201712,Mamografia
42,CE,JARDIM,40,201712,Mamografia
43,CE,JATI,29,201712,Mamografia
44,CE,JUAZEIRO DO NORTE,1468,201712,Mamografia
45,CE,MAURITI,132,201712,Mamografia
46,CE,MILAGRES,259,201712,Mamografia
47,CE,MISSAO VELHA,0,201712,Mamografia
48,CE,NOVA OLINDA,148,201712,Mamografia
49,CE,PENAFORTE,40,201712,Mamografia
50,CE,PORTEIRAS,49,201712,Mamografia
51,CE,POTENGI,173,201712,Mamografia
52,CE,SALITRE,24,201712,Mamografia
53,CE,SANTANA DO CARIRI,162,201712,Mamografia
54,CE,TARRAFAS,64,201712,Mamografia
55,CE,VARZEA ALEGRE,677,201712,Mamografia
56,CE,ABAIARA,106,201812,Mamografia
57,CE,ALTANEIRA,19,201812,Mamografia
58,CE,ANTONINA DO NORTE,6,201812,Mamografia
59,CE,ARARIPE,27,201812,Mamografia
60,CE,ASSARE,118,201812,Mamografia
61,CE,AURORA,300,201812,Mamografia
62,CE,BARBALHA,2479,201812,Mamografia
63,CE,BARRO,298,201812,Mamografia
64,CE,BREJO SANTO,86,201812,Mamografia
65,CE,CAMPOS SALES,0,201812,Mamografia
66,CE,CARIRIACU,36,201812,Mamografia
67,CE,CRATO,1233,201812,Mamografia
68,CE,FARIAS BRITO,103,201812,Mamografia
69,CE,GRANJEIRO,1,201812,Mamografia
70,CE,JARDIM,190,201812,Mamografia
71,CE,JATI,104,201812,Mamografia
72,CE,JUAZEIRO DO NORTE,3061,201812,Mamografia
73,CE,MAURITI,194,201812,Mamografia
74,CE,MILAGRES,177,201812,Mamografia
75,CE,MISSAO VELHA,215,201812,Mamografia
76,CE,NOVA OLINDA,204,201812,Mamografia
77,CE,PENAFORTE,77,201812,Mamografia
78,CE,PORTEIRAS,147,201812,Mamografia
79,CE,POTENGI,85,201812,Mamografia
80,CE,SALITRE,39,201812,Mamografia
81,CE,SANTANA DO CARIRI,153,201812,Mamografia
82,CE,TARRAFAS,23,201812,Mamografia
83,CE,VARZEA ALEGRE,465,201812,Mamografia
84,CE,ABAIARA,217,201912,Mamografia
85,CE,ALTANEIRA,6,201912,Mamografia
86,CE,ANTONINA DO NORTE,2,201912,Mamografia
87,CE,ARARIPE,2,201912,Mamografia
88,CE,ASSARE,45,201912,Mamografia
89,CE,AURORA,381,201912,Mamografia
90,CE,BARBALHA,2115,201912,Mamografia
91,CE,BARRO,395,201912,Mamografia
92,CE,BREJO SANTO,923,201912,Mamografia
93,CE,CAMPOS SALES,0,201912,Mamografia
94,CE,CARIRIACU,297,201912,Mamografia
95,CE,CRATO,2,201912,Mamografia
96,CE,FARIAS BRITO,218,201912,Mamografia
97,CE,GRANJEIRO,52,201912,Mamografia
98,CE,JARDIM,540,201912,Mamografia
99,CE,JATI,198,201912,Mamografia
100,CE,JUAZEIRO DO NORTE,4738,201912,Mamografia
101,CE,MAURITI,391,201912,Mamografia
102,CE,MILAGRES,524,201912,Mamografia
103,CE,MISSAO VELHA,310,201912,Mamografia
104,CE,NOVA OLINDA,0,201912,Mamografia
105,CE,PENAFORTE,170,201912,Mamografia
106,CE,PORTEIRAS,315,201912,Mamografia
107,CE,POTENGI,0,201912,Mamografia
108,CE,SALITRE,0,201912,Mamografia
109,CE,SANTANA DO CARIRI,0,201912,Mamografia
110,CE,TARRAFAS,3,201912,Mamografia
