sg_uf,no_municipio,vl_indicador_calculado_mun,co_anomes,dt_atualizacao
CE,Barbalha,463.0,202601,2026-04-10 23:47:13
CE,Brejo Santo,330.0,202601,2026-04-10 23:47:13
CE,Campos Sales,91.0,202601,2026-04-10 23:47:13
CE,Juazeiro do Norte,20.0,202601,2026-04-10 23:47:13
CE,Barbalha,2064.0,202512,2026-04-10 23:47:23
CE,Brejo Santo,1795.0,202512,2026-04-10 23:47:23
CE,Campos Sales,1580.0,202512,2026-04-10 23:47:23
CE,Crato,3245.0,202512,2026-04-10 23:47:23
CE,Juazeiro do Norte,769.0,202512,2026-04-10 23:47:23
CE,Várzea Alegre,763.0,202512,2026-04-10 23:47:23
CE,Abaiara,49.0,202412,2026-04-10 23:47:32
CE,Barbalha,2265.0,202412,2026-04-10 23:47:32
CE,Brejo Santo,1649.0,202412,2026-04-10 23:47:32
CE,Campos Sales,794.0,202412,2026-04-10 23:47:32
CE,Crato,3487.0,202412,2026-04-10 23:47:32
CE,Juazeiro do Norte,2450.0,202412,2026-04-10 23:47:32
CE,Mauriti,140.0,202412,2026-04-10 23:47:32
CE,Várzea Alegre,511.0,202412,2026-04-10 23:47:32
CE,Barbalha,2004.0,202312,2026-04-10 23:47:43
CE,Brejo Santo,2205.0,202312,2026-04-10 23:47:43
CE,Campos Sales,1334.0,202312,2026-04-10 23:47:43
CE,Crato,2629.0,202312,2026-04-10 23:47:43
CE,Juazeiro do Norte,1619.0,202312,2026-04-10 23:47:43
CE,Várzea Alegre,389.0,202312,2026-04-10 23:47:43
CE,Barbalha,1716.0,202212,2026-04-10 23:47:53
CE,Brejo Santo,1750.0,202212,2026-04-10 23:47:53
CE,Campos Sales,407.0,202212,2026-04-10 23:47:53
CE,Crato,2023.0,202212,2026-04-10 23:47:53
CE,Juazeiro do Norte,1643.0,202212,2026-04-10 23:47:53
CE,Várzea Alegre,282.0,202212,2026-04-10 23:47:53
CE,Abaiara,99.0,202112,2026-04-10 23:48:03
CE,Barbalha,1097.0,202112,2026-04-10 23:48:03
CE,Brejo Santo,1411.0,202112,2026-04-10 23:48:03
CE,Campos Sales,5.0,202112,2026-04-10 23:48:03
CE,Crato,1061.0,202112,2026-04-10 23:48:03
CE,Juazeiro do Norte,1165.0,202112,2026-04-10 23:48:03
CE,Mauriti,82.0,202112,2026-04-10 23:48:03
CE,Várzea Alegre,124.0,202112,2026-04-10 23:48:03
CE,Barbalha,711.0,202012,2026-04-10 23:48:14
CE,Brejo Santo,720.0,202012,2026-04-10 23:48:14
CE,Crato,1024.0,202012,2026-04-10 23:48:14
CE,Juazeiro do Norte,844.0,202012,2026-04-10 23:48:14
CE,Mauriti,64.0,202012,2026-04-10 23:48:14
CE,Aurora,52.0,201912,2026-04-10 23:48:25
CE,Barbalha,1027.0,201912,2026-04-10 23:48:25
CE,Brejo Santo,1176.0,201912,2026-04-10 23:48:25
CE,Campos Sales,1.0,201912,2026-04-10 23:48:25
CE,Crato,2.0,201912,2026-04-10 23:48:25
CE,Farias Brito,124.0,201912,2026-04-10 23:48:25
CE,Juazeiro do Norte,1972.0,201912,2026-04-10 23:48:25
CE,Milagres,140.0,201912,2026-04-10 23:48:25
CE,Várzea Alegre,155.0,201912,2026-04-10 23:48:25
CE,Barbalha,2573.0,201812,2026-04-10 23:48:37
CE,Brejo Santo,1720.0,201812,2026-04-10 23:48:37
CE,Crato,1000.0,201812,2026-04-10 23:48:37
CE,Granjeiro,143.0,201812,2026-04-10 23:48:37
CE,Juazeiro do Norte,1435.0,201812,2026-04-10 23:48:37
CE,Milagres,148.0,201812,2026-04-10 23:48:37
CE,Santana do Cariri,106.0,201812,2026-04-10 23:48:37
CE,Abaiara,66.0,201712,2026-04-10 23:48:49
CE,Antonina do Norte,144.0,201712,2026-04-10 23:48:49
CE,Barbalha,2603.0,201712,2026-04-10 23:48:49
CE,Brejo Santo,1555.0,201712,2026-04-10 23:48:49
CE,Campos Sales,153.0,201712,2026-04-10 23:48:49
CE,Crato,2092.0,201712,2026-04-10 23:48:49
CE,Juazeiro do Norte,936.0,201712,2026-04-10 23:48:49
CE,Milagres,155.0,201712,2026-04-10 23:48:49
CE,Missão Velha,112.0,201712,2026-04-10 23:48:49
CE,Salitre,123.0,201712,2026-04-10 23:48:49
CE,Várzea Alegre,152.0,201712,2026-04-10 23:48:49
CE,Altaneira,225.0,201612,2026-04-10 23:49:03
CE,Barbalha,2882.0,201612,2026-04-10 23:49:03
CE,Brejo Santo,1090.0,201612,2026-04-10 23:49:03
CE,Crato,1814.0,201612,2026-04-10 23:49:03
CE,Juazeiro do Norte,1141.0,201612,2026-04-10 23:49:03
CE,Várzea Alegre,253.0,201612,2026-04-10 23:49:03
